buoc,loss_lien_tuc,loss_bi_giet,chenh_lech_phan_tram
1,10.391730,10.391730,0.000000
2,10.226819,10.226819,0.000000
3,9.720084,9.720084,0.000000
4,9.281215,9.281215,0.000000
5,8.854163,8.854163,0.000000
6,8.430592,8.430592,0.000000
7,8.023438,8.023438,0.000000
8,7.649532,7.649532,0.000000
9,7.321732,7.321732,0.000000
10,7.040268,7.040268,0.000000
11,6.806562,6.806562,0.000000
12,6.614522,6.614522,0.000000
13,6.461888,6.461888,0.000000
14,6.348667,6.348667,0.000000
15,6.261708,6.261708,0.000000
16,6.199981,6.199981,0.000000
17,6.151597,6.151597,0.000000
18,6.114619,6.114619,0.000000
19,6.088435,6.088435,0.000000
20,6.065411,6.065411,0.000000
21,6.035399,6.035399,0.000000
22,5.997513,5.997513,0.000000
23,6.020414,6.020414,0.000000
24,5.951219,5.951219,0.000000
25,5.931729,5.931729,0.000000
26,5.911750,5.911750,0.000000
27,5.878760,5.878760,0.000000
28,5.844482,5.844482,0.000000
29,5.830489,5.830489,0.000000
30,5.825871,5.825871,0.000000
31,5.809222,5.809222,0.000000
32,5.787992,5.787992,0.000000
33,5.752131,5.752131,0.000000
34,5.716298,5.716298,0.000000
35,5.689985,5.689985,0.000000
36,5.648995,5.648995,0.000000
37,5.616344,5.616344,0.000000
38,5.605003,5.605003,0.000000
39,5.570905,5.570905,0.000000
40,5.539530,5.539530,0.000000
41,5.519784,5.519784,0.000000
42,5.494387,5.494387,0.000000
43,5.462383,5.462383,0.000000
44,5.429540,5.429540,0.000000
45,5.415764,5.415764,0.000000
46,5.380094,5.380094,0.000000
47,5.349385,5.349385,0.000000
48,5.358526,5.358526,0.000000
49,5.296107,5.296107,0.000000
50,5.280051,5.280051,0.000000
51,5.248981,5.248981,0.000000
52,5.229784,5.229784,0.000000
53,5.194214,5.194214,0.000000
54,5.173217,5.173217,0.000000
55,5.138929,5.138929,0.000000
56,5.118842,5.118842,0.000000
57,5.086019,5.086019,0.000000
58,5.057605,5.057605,0.000000
59,5.031822,5.031822,0.000000
60,5.003615,5.003615,0.000000
